imdb_movie_Id,Rating,Director,Actor_list
111048,5.8,Jefery Levy,Stephen Dorff
110399,6,Keenen Ivory Wayans,Keenen Ivory Wayans
112570,7,Robert Lee King(segment The Disco Years)Raoul O'Connell(segment A Friend of Dorothy)Brian Sloan(segment Pool Days),James Andrews
109454,6.9,Yves Angelo,Gérard Depardieu
59170,6.7,Russ Meyer,Tura Satana
110186,6.6,Doug McHenry,Allen Payne
111301,4,Steven E. de Souza,Jean-Claude Van Damme
110027,4.5,Andrew Morahan,Christopher Lambert
109785,6.4,Michael Corrente,Nicholas Turturro
113409,7.2,John Carpenter,Sam Neill
109021,6.6,John G. Avildsen,Luke Perry
109035,6.6,Jeff Pollack,Duane Martin
106220,6.8,Barry Sonnenfeld,Anjelica Huston
106226,7.2,Martin Scorsese,Daniel Day-Lewis
109068,6.1,Michael Lehmann,Brendan Fraser
109067,5.5,Paul Michael Glaser,Kevin Bacon
106292,5.6,John Badham,Richard Dreyfuss
109198,5.2,Jonathan Kaplan,Madeleine Stowe
109219,7,Whit Stillman,Taylor Nichols
106379,5.4,Bill Forsyth,Robin Williams
106400,5,Penelope Spheeris,Diedrich Bader
109254,5.6,John Landis,Eddie Murphy
109279,6.6,Caroline Thompson,Sean Bean
109297,6.2,Michael Apted,Madeleine Stowe
109303,6.2,Stephen Hopkins,Jeff Bridges
109305,6.2,William Friedkin,Nick Nolte
109306,6.4,Tony Richardson,Jessica Lange
106452,6,Abel Ferrara,Gabrielle Anwar
106471,4.7,Jennifer Lynch,Julian Sands
106489,7.8,Robert De Niro,Robert De Niro
109361,5.3,Adam Resnick,Chris Elliott
106505,5.1,John Whitesell,Jason Priestley
106519,7.9,Brian De Palma,Al Pacino
109439,5.6,Paul Weiland,Billy Crystal
109443,5.7,Mick Jackson,Dana Carvey
106582,6.4,Renny Harlin,Sylvester Stallone
106598,5.4,Steve Barron,Dan Aykroyd
109456,5.2,Richard Rush,Bruce Willis
109480,5.2,Michael Ritchie,Chevy Chase
109493,5.9,Gregg Champion,Woody Harrelson
106673,6.8,Ivan Reitman,Kevin Kline
106677,7.6,Richard Linklater,Jason London
106697,6.7,Marco Brambilla,Sylvester Stallone
106834,4.4,Gus Van Sant,Uma Thurman
106873,5.8,Carl Reiner,Armand Assante
106332,8.1,Kaige Chen,Leslie Cheung
106881,7.1,Peter Weir,Jeff Bridges
106880,7.2,Rusty Cundieff,Larry B. Scott
111732,6.7,Alek Keshishian,Joe Pesci
106926,6.2,Steve Kloves,Dennis Quaid
111712,6.7,John Irvin,Joan Plowright
106941,6.2,Barry Sonnenfeld,Michael J. Fox
106918,6.8,Sydney Pollack,Tom Cruise
106965,6,Simon Wincer,Jason James Richter
109842,7.6,Boaz Yakin,Sean Nelson
106977,7.8,Andrew Davis,Harrison Ford
107004,6.5,Walter Hill,Jason Patric
109890,5.8,Roger Donaldson,Alec Baldwin
109891,4.8,Howard Deutch,Macaulay Culkin
109913,5.6,Rose Troche,V.S. Brodie
107076,6.2,John Woo,Jean-Claude Van Damme
107144,6.6,Jim Abrahams,Charlie Sheen
113674,5.3,Julianna Lavin,Dana Delany
112966,6.6,Christopher Monger,Hugh Grant
107151,6.9,Bille August,Jeremy Irons
110064,4.8,Eric Meza,Christopher Reid
