기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	강북구	수유2동	22,526	10,909	11,617	4,326	1,826	2,500	4,322	1,824	2,498	4	2	2
2018	강북구	수유3동	24,280	12,035	12,245	4,110	1,811	2,299	4,106	1,809	2,297	4	2	2
2018	강북구	삼양동	26,575	13,202	13,373	4,641	2,050	2,591	4,639	2,048	2,591	2	2	-
2018	강북구	미아동	23,228	11,181	12,047	4,068	1,764	2,304	4,056	1,759	2,297	12	5	7
2018	강북구	송중동	29,549	14,216	15,333	5,309	2,318	2,991	5,296	2,311	2,985	13	7	6
2018	강북구	송천동	29,519	14,706	14,813	5,597	2,457	3,140	5,583	2,450	3,133	14	7	7
2018	강북구	삼각산동	33,524	16,137	17,387	3,978	1,617	2,361	3,972	1,614	2,358	6	3	3
2018	강북구	우이동	21,895	10,676	11,219	4,386	1,946	2,440	4,376	1,939	2,437	10	7	3
2018	강북구	인수동	33,046	16,059	16,987	6,347	2,773	3,574	6,339	2,771	3,568	8	2	6
2018	도봉구	소계	341,649	167,043	174,606	55,964	24,854	31,110	55,926	24,831	31,095	38	23	15
2018	도봉구	쌍문1동	22,428	10,850	11,578	3,972	1,748	2,224	3,970	1,747	2,223	2	1	1
2018	도봉구	쌍문2동	20,580	9,986	10,594	3,453	1,486	1,967	3,450	1,484	1,966	3	2	1
2018	도봉구	쌍문3동	17,406	8,394	9,012	3,120	1,398	1,722	3,117	1,396	1,721	3	2	1
2018	도봉구	쌍문4동	20,102	9,570	10,532	2,591	1,134	1,457	2,587	1,132	1,455	4	2	2
2018	도봉구	방학1동	30,563	15,146	15,417	5,031	2,315	2,716	5,027	2,313	2,714	4	2	2
2018	도봉구	방학2동	21,648	10,921	10,727	3,892	1,735	2,157	3,891	1,735	2,156	1	-	1
2018	도봉구	방학3동	29,336	14,322	15,014	4,161	1,800	2,361	4,161	1,800	2,361	-	-	-
2018	도봉구	창1동	26,725	12,831	13,894	4,040	1,736	2,304	4,035	1,732	2,303	5	4	1
2018	도봉구	창2동	31,351	15,371	15,980	4,551	2,048	2,503	4,550	2,047	2,503	1	1	-
2018	도봉구	창3동	15,150	7,536	7,614	2,671	1,150	1,521	2,669	1,149	1,520	2	1	1
2018	도봉구	창4동	28,464	13,740	14,724	3,755	1,611	2,144	3,751	1,608	2,143	4	3	1
2018	도봉구	창5동	26,029	12,589	13,440	3,828	1,719	2,109	3,827	1,718	2,109	1	1	-
2018	도봉구	도봉1동	22,839	11,541	11,298	5,136	2,355	2,781	5,132	2,354	2,778	4	1	3
2018	도봉구	도봉2동	29,028	14,246	14,782	5,763	2,619	3,144	5,759	2,616	3,143	4	3	1
2018	노원구	소계	548,160	265,870	282,290	77,096	32,280	44,816	77,032	32,254	44,778	64	26	38
2018	노원구	월계1동	24,087	12,448	11,639	3,927	1,801	2,126	3,925	1,800	2,125	2	1	1
2018	노원구	월계2동	26,692	12,853	13,839	4,907	2,029	2,878	4,904	2,027	2,877	3	2	1
2018	노원구	월계3동	32,496	15,653	16,843	5,337	2,273	3,064	5,334	2,273	3,061	3	-	3
2018	노원구	공릉2동	41,539	20,373	21,166	4,611	2,059	2,552	4,605	2,056	2,549	6	3	3
2018	노원구	하계1동	29,901	14,522	15,379	3,864	1,396	2,468	3,860	1,395	2,465	4	1	3
2018	노원구	하계2동	23,852	11,415	12,437	2,877	1,154	1,723	2,873	1,152	1,721	4	2	2
2018	노원구	중계본동	26,863	13,180	13,683	2,525	1,049	1,476	2,522	1,048	1,474	3	1	2
2018	노원구	중계1동	28,351	13,836	14,515	2,185	866	1,319	2,184	866	1,318	1	-	1
2018	노원구	중계4동	21,841	10,610	11,231	3,628	1,423	2,205	3,624	1,422	2,202	4	1	3
2018	노원구	상계1동	41,010	20,010	21,000	6,138	2,751	3,387	6,126	2,745	3,381	12	6	6
2018	노원구	상계2동	21,624	10,703	10,921	3,005	1,395	1,610	3,004	1,394	1,610	1	1	-
2018	노원구	상계5동	26,230	12,812	13,418	4,634	1,948	2,686	4,633	1,947	2,686	1	1	-
2018	노원구	상계8동	24,427	11,776	12,651	2,500	1,028	1,472	2,499	1,028	1,471	1	-	1
2018	노원구	상계9동	22,348	10,732	11,616	2,952	1,249	1,703	2,950	1,247	1,703	2	2	-
2018	노원구	상계10동	17,021	7,880	9,141	2,011	826	1,185	2,010	826	1,184	1	-	1
2018	노원구	상계3.4동	26,622	13,256	13,366	5,473	2,370	3,103	5,469	2,369	3,100	4	1	3
2018	노원구	상계6.7동	35,480	16,533	18,947	4,316	1,765	2,551	4,311	1,763	2,548	5	2	3
2018	노원구	중계2.3동	37,786	17,632	20,154	6,640	2,421	4,219	6,636	2,420	4,216	4	1	3
2018	노원구	공릉1동	39,990	19,646	20,344	5,566	2,477	3,089	5,563	2,476	3,087	3	1	2
2018	은평구	소계	487,666	235,600	252,066	77,420	33,525	43,895	77,263	33,446	43,817	157	79	78
2018	은평구	녹번동	34,901	16,782	18,119	5,928	2,520	3,408	5,907	2,508	3,399	21	12	9
2018	은평구	불광1동	41,585	19,824	21,761	7,081	3,003	4,078	7,068	2,993	4,075	13	10	3
2018	은평구	갈현1동	25,191	12,299	12,892	4,104	1,817	2,287	4,095	1,813	2,282	9	4	5
2018	은평구	갈현2동	30,692	14,644	16,048	4,530	1,959	2,571	4,523	1,959	2,564	7	-	7
2018	은평구	구산동	34,132	17,040	17,092	5,570	2,724	2,846	5,565	2,720	2,845	5	4	1
2018	은평구	대조동	32,608	15,382	17,226	5,307	2,270	3,037	5,293	2,263	3,030	14	7	7
2018	은평구	응암1동	26,185	12,584	13,601	3,945	1,651	2,294	3,939	1,648	2,291	6	3	3
2018	은평구	응암2동	21,086	10,329	10,757	2,830	1,198	1,632	2,820	1,193	1,627	10	5	5
2018	은평구	신사1동	28,926	14,010	14,916	4,443	1,908	2,535	4,436	1,906	2,530	7	2	5
2018	은평구	신사2동	22,247	11,117	11,130	3,452	1,532	1,920	3,446	1,529	1,917	6	3	3
2018	은평구	증산동	16,412	8,113	8,299	2,882	1,277	1,605	2,876	1,274	1,602	6	3	3
2018	은평구	수색동	11,266	5,636	5,630	2,097	889	1,208	2,092	887	1,205	5	2	3
2018	은평구	진관동	56,487	26,761	29,726	7,079	3,046	4,033	7,070	3,042	4,028	9	4	5
2018	은평구	불광2동	29,914	14,518	15,396	5,331	2,314	3,017	5,315	2,306	3,009	16	8	8
2018	은평구	응암3동	26,417	12,932	13,485	5,249	2,182	3,067	5,238	2,176	3,062	11	6	5
2018	은평구	역촌동	49,617	23,629	25,988	7,592	3,235	4,357	7,580	3,229	4,351	12	6	6
2018	서대문구	소계	323,080	153,816	169,264	50,456	21,334	29,122	50,045	21,128	28,917	411	206	205
2018	서대문구	천연동	19,044	9,085	9,959	3,169	1,236	1,933	3,160	1,232	1,928	9	4	5
2018	서대문구	홍제1동	23,123	10,868	12,255	4,004	1,699	2,305	3,985	1,689	2,296	19	10	9
2018	서대문구	홍제3동	16,616	8,052	8,564	3,325	1,391	1,934	3,318	1,388	1,930	7	3	4
2018	서대문구	홍제2동	14,934	7,137	7,797	2,583	1,057	1,526	2,571	1,050	1,521	12	7	5
2018	서대문구	홍은1동	24,131	11,730	12,401	4,359	1,853	2,506	4,346	1,844	2,502	13	9	4
2018	서대문구	홍은2동	29,004	14,111	14,893	4,713	2,035	2,678	4,671	2,016	2,655	42	19	23
2018	서대문구	남가좌1동	17,199	8,285	8,914	2,086	883	1,203	2,071	877	1,194	15	6	9
2018	서대문구	남가좌2동	24,989	12,050	12,939	4,061	1,716	2,345	4,046	1,708	2,338	15	8	7
2018	서대문구	북가좌1동	19,311	9,373	9,938	2,767	1,188	1,579	2,759	1,186	1,573	8	2	6
2018	서대문구	북가좌2동	34,237	16,726	17,511	5,734	2,488	3,246	5,717	2,481	3,236	17	7	10
2018	서대문구	충현동	18,291	8,922	9,369	3,058	1,298	1,760	3,047	1,292	1,755	11	6	5
2018	서대문구	북아현동	17,832	8,439	9,393	2,245	910	1,335	2,229	902	1,327	16	8	8
2018	서대문구	신촌동	23,917	9,600	14,317	2,144	916	1,228	2,114	899	1,215	30	17	13
2018	서대문구	연희동	40,452	19,438	21,014	6,208	2,664	3,544	6,011	2,564	3,447	197	100	97
2018	마포구	소계	386,359	182,573	203,786	50,833	21,270	29,563	50,544	21,122	29,422	289	148	141
2018	마포구	용강동	22,647	10,842	11,805	2,739	1,131	1,608	2,714	1,120	1,594	25	11	14
2018	마포구	대흥동	13,661	6,326	7,335	1,850	748	1,102	1,835	741	1,094	15	7	8
2018	마포구	염리동	13,063	6,159	6,904	1,786	736	1,050	1,777	730	1,047	9	6	3
2018	마포구	신수동	21,806	10,580	11,226	2,993	1,271	1,722	2,987	1,268	1,719	6	3	3
2018	마포구	서교동	26,264	12,009	14,255	3,302	1,436	1,866	3,292	1,428	1,864	10	8	2
2018	마포구	합정동	19,535	9,108	10,427	2,565	1,095	1,470	2,556	1,088	1,468	9	7	2
2018	마포구	망원1동	22,125	10,490	11,635	3,249	1,355	1,894	3,240	1,353	1,887	9	2	7
2018	마포구	망원2동	19,641	9,410	10,231	2,803	1,215	1,588	2,796	1,212	1,584	7	3	4
2018	마포구	연남동	17,393	8,121	9,272	2,430	1,014	1,416	2,345	977	1,368	85	37	48
2018	마포구	성산1동	20,443	9,688	10,755	2,781	1,198	1,583	2,764	1,188	1,576	17	10	7
2018	마포구	성산2동	41,743	19,435	22,308	5,672	2,246	3,426	5,665	2,243	3,422	7	3	4
2018	마포구	상암동	33,550	16,099	17,451	3,649	1,564	2,085	3,636	1,557	2,079	13	7	6
2018	마포구	도화동	22,845	10,876	11,969	3,497	1,478	2,019	3,481	1,470	2,011	16	8	8
2018	마포구	서강동	25,622	12,090	13,532	2,902	1,227	1,675	2,892	1,221	1,671	10	6	4
2018	마포구	공덕동	40,506	19,303	21,203	5,761	2,364	3,397	5,733	2,347	3,386	28	17	11
2018	마포구	아현동	25,515	12,037	13,478	2,854	1,192	1,662	2,831	1,179	1,652	23	13	10
2018	양천구	소계	468,145	230,457	237,688	58,045	25,907	32,138	57,941	25,855	32,086	104	52	52
2018	양천구	목1동	32,458	15,640	16,818	2,738	1,248	1,490	2,732	1,243	1,489	6	5	1
2018	양천구	목2동	31,754	15,573	16,181	3,587	1,603	1,984	3,577	1,598	1,979	10	5	5
2018	양천구	목3동	23,231	11,194	12,037	2,916	1,248	1,668	2,906	1,245	1,661	10	3	7
2018	양천구	목4동	27,289	13,418	13,871	2,907	1,246	1,661	2,902	1,243	1,659	5	3	2
2018	양천구	신월1동	22,379	11,476	10,903	3,636	1,643	1,993	3,629	1,642	1,987	7	1	6
2018	양천구	신월2동	22,853	11,225	11,628	3,425	1,588	1,837	3,421	1,585	1,836	4	3	1
2018	양천구	신월3동	17,186	9,076	8,110	2,709	1,232	1,477	2,699	1,230	1,469	10	2	8
2018	양천구	신월4동	19,335	9,530	9,805	2,758	1,242	1,516	2,758	1,242	1,516	-	-	-
2018	양천구	신월5동	15,759	7,800	7,959	2,098	975	1,123	2,095	974	1,121	3	1	2
2018	양천구	신월6동	6,815	3,377	3,438	1,044	485	559	1,043	485	558	1	-	1
2018	양천구	신월7동	22,347	10,984	11,363	3,846	1,646	2,200	3,842	1,644	2,198	4	2	2
2018	양천구	신정1동	21,677	10,636	11,041	2,364	1,057	1,307	2,357	1,052	1,305	7	5	2
2018	양천구	신정2동	20,987	10,270	10,717	2,355	1,014	1,341	2,350	1,012	1,338	5	2	3
2018	양천구	신정3동	48,799	23,942	24,857	6,077	2,669	3,408	6,063	2,662	3,401	14	7	7
