"기간","자치구","인구밀도"
2011,"노원구",17160
2011,"은평구",16782
2011,"서대문구",18434
2011,"마포구",16720
2011,"양천구",29049
2011,"강서구",13901
2011,"구로구",22806
2011,"금천구",20326
2011,"영등포구",17892
2011,"동작구",25296
2011,"관악구",18478
2011,"서초구",9340
2011,"강남구",14501
2011,"송파구",20382
2011,"강동구",20359
2012,"종로구",7243
2012,"중구",14136
2012,"용산구",11674
2012,"성동구",18214
2012,"광진구",22520
2012,"동대문구",26453
2012,"중랑구",22904
2012,"성북구",19968
2012,"강북구",14684
2012,"도봉구",17605
2012,"노원구",16955
2012,"은평구",17035
2012,"서대문구",18444
2012,"마포구",16511
2012,"양천구",28769
2012,"강서구",13851
2012,"구로구",22589
2012,"금천구",20055
2012,"영등포구",17386
2012,"동작구",25456
2012,"관악구",18280
2012,"서초구",9361
2012,"강남구",14431
2012,"송파구",20078
2012,"강동구",20042
2013,"종로구",7022
2013,"중구",13854
2013,"용산구",11520
2013,"성동구",18190
2013,"광진구",22356
2013,"동대문구",26490
2013,"중랑구",22773
2013,"성북구",19747
2013,"강북구",14490
2013,"도봉구",17418
2013,"노원구",16763
2013,"은평구",17107
2013,"서대문구",18405
2013,"마포구",16407
2013,"양천구",28554
2013,"강서구",13885
2013,"구로구",22475
2013,"금천구",19840
2013,"영등포구",17187
2013,"동작구",25773
2013,"관악구",18097
2013,"서초구",9501
2013,"강남구",14409
2013,"송파구",19925
2013,"강동구",19846
2014,"종로구",6915
2014,"중구",13677
2014,"용산구",11427
2014,"성동구",18035
2014,"광진구",22120
2014,"동대문구",26483
2014,"중랑구",22887
2014,"성북구",19364
2014,"강북구",14339
2014,"도봉구",17184
2014,"노원구",16537
2014,"은평구",16944
2014,"서대문구",18220
2014,"마포구",16604
2014,"양천구",28202
2014,"강서구",14281
2014,"구로구",22720
2014,"금천구",19818
2014,"영등포구",17180
2014,"동작구",25643
2014,"관악구",17990
2014,"서초구",9666
2014,"강남구",14771
2014,"송파구",19834
2014,"강동구",19574
2015,"종로구",6851
2015,"중구",13486
2015,"용산구",11337
2015,"성동구",18093
2015,"광진구",21987
2015,"동대문구",26301
2015,"중랑구",22633
2015,"성북구",19104
2015,"강북구",14172
2015,"도봉구",17056
2015,"노원구",16317
2015,"은평구",16920
2015,"서대문구",18351
2015,"마포구",16706
2015,"양천구",28098
2015,"강서구",14376
2015,"구로구",22596
2015,"금천구",19675
2015,"영등포구",17033
2015,"동작구",25240
2015,"관악구",17891
2015,"서초구",9601
2015,"강남구",14728
2015,"송파구",19704
2015,"강동구",18842
2016,"종로구",6771
