기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	외국인	외국인	외국인
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2017	도봉구	쌍문4동	20,480	9,803	10,677	2,482	1,091	1,391	2,477	1,088	1,389	5	3	2
2017	도봉구	방학1동	30,730	15,187	15,543	4,771	2,182	2,589	4,767	2,180	2,587	4	2	2
2017	도봉구	방학2동	22,304	11,288	11,016	3,736	1,645	2,091	3,732	1,644	2,088	4	1	3
2017	도봉구	방학3동	29,784	14,562	15,222	3,947	1,699	2,248	3,947	1,699	2,248	-	-	-
2017	도봉구	창1동	27,347	13,103	14,244	3,874	1,642	2,232	3,870	1,640	2,230	4	2	2
2017	도봉구	창2동	31,758	15,599	16,159	4,356	1,951	2,405	4,354	1,950	2,404	2	1	1
2017	도봉구	창3동	15,338	7,644	7,694	2,611	1,129	1,482	2,610	1,128	1,482	1	1	-
2017	도봉구	창4동	28,899	13,978	14,921	3,626	1,565	2,061	3,621	1,562	2,059	5	3	2
2017	도봉구	창5동	26,457	12,782	13,675	3,626	1,603	2,023	3,623	1,602	2,021	3	1	2
2017	도봉구	도봉1동	23,383	11,793	11,590	4,934	2,283	2,651	4,931	2,282	2,649	3	1	2
2017	도봉구	도봉2동	29,319	14,420	14,899	5,473	2,498	2,975	5,469	2,495	2,974	4	3	1
2017	노원구	소계	558,075	271,025	287,050	74,243	30,827	43,416	74,178	30,799	43,379	65	28	37
2017	노원구	월계1동	24,144	12,440	11,704	3,759	1,710	2,049	3,756	1,708	2,048	3	2	1
2017	노원구	월계2동	27,306	13,197	14,109	4,700	1,921	2,779	4,697	1,920	2,777	3	1	2
2017	노원구	월계3동	33,314	16,089	17,225	5,066	2,142	2,924	5,062	2,141	2,921	4	1	3
2017	노원구	공릉2동	41,895	20,651	21,244	4,429	1,995	2,434	4,423	1,992	2,431	6	3	3
2017	노원구	하계1동	29,899	14,558	15,341	3,726	1,324	2,402	3,721	1,323	2,398	5	1	4
2017	노원구	하계2동	24,393	11,684	12,709	2,806	1,121	1,685	2,801	1,118	1,683	5	3	2
2017	노원구	중계본동	27,449	13,436	14,013	2,496	1,015	1,481	2,492	1,014	1,478	4	1	3
2017	노원구	중계1동	28,828	14,080	14,748	2,149	856	1,293	2,148	856	1,292	1	-	1
2017	노원구	중계4동	22,098	10,800	11,298	3,449	1,361	2,088	3,446	1,360	2,086	3	1	2
2017	노원구	상계1동	41,695	20,377	21,318	5,872	2,619	3,253	5,862	2,614	3,248	10	5	5
2017	노원구	상계2동	21,926	10,830	11,096	2,867	1,298	1,569	2,865	1,296	1,569	2	2	-
2017	노원구	상계5동	27,048	13,247	13,801	4,516	1,887	2,629	4,516	1,887	2,629	-	-	-
2017	노원구	상계8동	25,143	12,122	13,021	2,423	989	1,434	2,422	989	1,433	1	-	1
2017	노원구	상계9동	22,854	10,950	11,904	2,769	1,156	1,613	2,766	1,153	1,613	3	3	-
2017	노원구	상계10동	17,446	8,092	9,354	1,919	763	1,156	1,917	762	1,155	2	1	1
2017	노원구	상계3.4동	27,742	13,872	13,870	5,367	2,318	3,049	5,363	2,317	3,046	4	1	3
2017	노원구	상계6.7동	36,103	16,893	19,210	4,128	1,674	2,454	4,124	1,673	2,451	4	1	3
2017	노원구	중계2.3동	38,764	18,128	20,636	6,463	2,332	4,131	6,460	2,331	4,129	3	1	2
2017	노원구	공릉1동	40,028	19,579	20,449	5,339	2,346	2,993	5,337	2,345	2,992	2	1	1
2017	은평구	소계	491,202	238,223	252,979	74,559	32,323	42,236	74,400	32,245	42,155	159	78	81
2017	은평구	녹번동	33,053	15,966	17,087	5,491	2,338	3,153	5,467	2,325	3,142	24	13	11
2017	은평구	불광1동	42,356	20,238	22,118	6,744	2,855	3,889	6,735	2,850	3,885	9	5	4
2017	은평구	갈현1동	25,591	12,545	13,046	3,989	1,755	2,234	3,980	1,752	2,228	9	3	6
2017	은평구	갈현2동	30,907	14,811	16,096	4,327	1,859	2,468	4,321	1,859	2,462	6	-	6
2017	은평구	구산동	33,819	16,940	16,879	5,339	2,643	2,696	5,332	2,638	2,694	7	5	2
2017	은평구	대조동	33,362	15,789	17,573	5,201	2,229	2,972	5,189	2,223	2,966	12	6	6
2017	은평구	응암1동	26,400	12,668	13,732	3,795	1,580	2,215	3,789	1,578	2,211	6	2	4
2017	은평구	응암2동	21,712	10,637	11,075	2,838	1,203	1,635	2,829	1,199	1,630	9	4	5
2017	은평구	신사1동	28,169	13,713	14,456	4,160	1,814	2,346	4,151	1,810	2,341	9	4	5
2017	은평구	신사2동	22,210	11,124	11,086	3,267	1,458	1,809	3,261	1,455	1,806	6	3	3
2017	은평구	증산동	16,924	8,376	8,548	2,797	1,242	1,555	2,791	1,239	1,552	6	3	3
2017	은평구	수색동	13,830	6,976	6,854	2,492	1,045	1,447	2,488	1,043	1,445	4	2	2
2017	은평구	진관동	55,569	26,490	29,079	6,686	2,856	3,830	6,675	2,849	3,826	11	7	4
2017	은평구	불광2동	30,208	14,747	15,461	5,199	2,278	2,921	5,185	2,270	2,915	14	8	6
2017	은평구	응암3동	26,639	13,034	13,605	4,990	2,087	2,903	4,976	2,079	2,897	14	8	6
2017	은평구	역촌동	50,453	24,169	26,284	7,244	3,081	4,163	7,231	3,076	4,155	13	5	8
